iter	MultiClass
565	0.0875880795
566	0.08742435371
567	0.08734218586
568	0.08717955772
569	0.0869671899
570	0.08681283834
571	0.08673068411
572	0.08660691946
573	0.08650126625
574	0.08635851934
575	0.08618920526
576	0.08607531182
577	0.08600366665
578	0.08580165753
579	0.08570734719
580	0.08553673063
581	0.08533348251
582	0.08519535048
583	0.08506530975
584	0.08494030212
585	0.08476782088
586	0.08458706689
587	0.08449887609
588	0.0843296569
589	0.08420843445
590	0.0840013379
591	0.08384285935
592	0.0836509423
593	0.08349259632
594	0.08337285543
595	0.08326449457
596	0.08308447731
597	0.0829970023
598	0.082909231
599	0.08284531774
600	0.08261189712
601	0.08244529261
602	0.08236436727
603	0.08224177829
604	0.08211460499
605	0.08196226086
606	0.08185839925
607	0.0817394059
608	0.08158995263
609	0.08142282605
610	0.08130990813
611	0.08115352387
612	0.08101335167
613	0.08089857762
614	0.08079709966
615	0.08062087842
616	0.08047579936
617	0.0803546067
618	0.08023771321
619	0.08008197065
620	0.07994023582
621	0.07980775905
622	0.07975501073
623	0.07968915569
624	0.07957455552
625	0.07944426211
626	0.07929982416
627	0.0792144124
628	0.07904633237
629	0.07897358691
630	0.07890036003
631	0.07880025856
632	0.0786973814
633	0.07855045947
634	0.07844377734
635	0.07832080686
636	0.07824354372
637	0.07812496005
638	0.07802146381
639	0.07789106509
640	0.0777741031
641	0.07767370655
642	0.07758593562
643	0.07751278322
644	0.07738759729
645	0.07728769725
646	0.07717357805
647	0.07709959702
648	0.07698647216
649	0.07686758913
650	0.07673071922
651	0.07664603555
652	0.07654094227
653	0.07637868949
654	0.07624497504
655	0.07615183812
656	0.0760761321
657	0.07598288158
658	0.07590955044
659	0.07582880312
660	0.0756701005
661	0.07554084769
662	0.07544104923
663	0.07536334093
664	0.07524425071
665	0.0750943955
666	0.07499807704
667	0.07488013904
668	0.07481606724
669	0.07474123897
670	0.07461587247
671	0.07453674596
672	0.07443405501
673	0.07433387262
674	0.07423739014
675	0.07411959539
676	0.07394162381
677	0.07384997996
678	0.07372183014
679	0.07357107502
680	0.07348164265
681	0.07331283935
682	0.07326873874
683	0.07315145927
684	0.07304914207
685	0.07293898663
686	0.07286917992
687	0.07281081247
688	0.07271498679
689	0.07265880754
690	0.07258463666
691	0.07250553697
692	0.07242053892
693	0.07234909607
694	0.07217713444
695	0.07207147177
696	0.07201584643
697	0.07188869965
698	0.07178369356
699	0.07163692715
700	0.07152166735
701	0.07138256356
702	0.07130460876
703	0.07126520629
704	0.07121553634
705	0.07108901029
706	0.07097677825
707	0.07090657501
708	0.07087645157
709	0.0707823327
710	0.0707135446
711	0.07059041358
712	0.07049530388
713	0.07041172563
714	0.07035593196
715	0.07027676747
716	0.07016910623
717	0.07010394808
718	0.07004008712
719	0.06991414944
720	0.06986027037
721	0.06976400973
722	0.06967150485
723	0.06960572253
724	0.06954932991
725	0.06948757121
726	0.06940924368
727	0.06932556759
728	0.06927266575
729	0.06923619754
730	0.0691316777
731	0.06902582733
732	0.06900771354
733	0.06896591833
734	0.06891429463
735	0.06885249664
736	0.0687622047
737	0.06866527558
738	0.06858608636
739	0.06851965477
740	0.06844411595
741	0.06835613404
742	0.06830149278
743	0.06822834161
744	0.06813628574
745	0.06804913093
746	0.06794210995
747	0.06776519749
748	0.06765466984
749	0.06759377283
750	0.06751893046
751	0.06745490141
752	0.06736189116
753	0.06729621938
754	0.06722265825
755	0.06713214834
756	0.06705985204
757	0.06701254749
758	0.06693830914
759	0.06688578508
760	0.0667832677
761	0.06673076252
762	0.0667022291
763	0.06661780946
764	0.06655436656
765	0.06648393165
766	0.06641868229
767	0.06636697441
768	0.06631749965
769	0.06623796749
770	0.06617947177
771	0.06608844966
772	0.06600391921
773	0.0659645549
774	0.06591646633
775	0.06581631575
776	0.06570491906
777	0.06563096513
778	0.06554937152
779	0.06547098258
780	0.06536170256
781	0.06529081435
782	0.06523083081
783	0.06512675642
784	0.0650796369
785	0.06500107956
786	0.06495154713
787	0.06486199177
788	0.06482915837
789	0.06474928758
790	0.06471200115
791	0.06466138359
792	0.06461203558
793	0.06457682993
794	0.0645242164
795	0.06443430782
796	0.06434421495
797	0.06432388101
798	0.06426067483
799	0.06420474224
800	0.06412940325
801	0.06408909641
802	0.0640097311
803	0.06394770861
804	0.06388445179
805	0.06380943777
806	0.06372401758
807	0.06367809728
808	0.0636018827
809	0.06355669346
810	0.06350300149
811	0.06341102916
812	0.06333871748
813	0.06326911103
814	0.0631898448
815	0.06312661082
816	0.06309593458
817	0.06303761724
818	0.06296894239
819	0.06293761862
820	0.06288033701
821	0.06282619737
822	0.06277369835
823	0.0627203021
824	0.06263809451
825	0.06257288373
826	0.06252625608
827	0.06247471412
828	0.06242336542
829	0.06234874666
830	0.06228147007
831	0.06220681119
832	0.06216607376
833	0.06211027094
834	0.06205140505
835	0.06199839554
836	0.06195097467
837	0.06189625315
838	0.06184597544
839	0.06176532824
840	0.06171588318
841	0.06167483273
842	0.06161456507
843	0.06156423135
844	0.06145908931
845	0.06143575827
846	0.06137275621
847	0.06133411614
848	0.06127750657
849	0.06124462771
850	0.06120513744
851	0.06112084533
852	0.06107071765
853	0.06103696964
854	0.06097854802
855	0.06094329265
856	0.06087907895
857	0.06082032941
858	0.06077544247
859	0.06070962033
860	0.06066231558
861	0.06063973454
862	0.06060299325
863	0.06053665864
864	0.06047048098
865	0.06043400824
866	0.06039227546
867	0.06034352977
868	0.06028357802
869	0.06023148584
870	0.06018201625
871	0.06013650599
872	0.06006371237
873	0.06001135035
874	0.05996424898
875	0.05991521493
876	0.05984554068
877	0.05979183881
878	0.05975523137
879	0.05970990358
880	0.05966233468
881	0.05959990485
882	0.05957219725
883	0.05953092467
884	0.05948713371
885	0.05945227071
886	0.05942251317
887	0.0593697059
888	0.05933397347
889	0.05929254967
890	0.05923521213
891	0.05918855815
892	0.0591257456
893	0.05908808004
894	0.05905015214
895	0.05897569087
896	0.05894110802
897	0.05887104776
898	0.05881809504
899	0.05874949074
900	0.05870555838
901	0.05863821141
902	0.05856533279
903	0.05852077996
904	0.0584766601
905	0.05842034447
906	0.05831885165
907	0.05828982221
908	0.0582477497
909	0.0581889846
910	0.05813065217
911	0.05810802149
912	0.05810044669
913	0.05804738248
914	0.05799782968
915	0.05791083579
916	0.05786566793
917	0.05781317817
918	0.05775055915
919	0.05764625816
920	0.05762118643
921	0.05757870081
922	0.05753665201
923	0.0574789717
924	0.05745326216
925	0.05739323175
926	0.05735323837
927	0.05728969695
928	0.05722572259
929	0.05713945087
930	0.05710110985
931	0.05706221354
932	0.05700956411
933	0.05696709112
934	0.05695288164
935	0.05688008401
936	0.0568043397
937	0.05673733519
938	0.05669728671
939	0.05663469914
940	0.05657383633
941	0.05653375052
942	0.05648573852
943	0.0564370507
944	0.05638194328
945	0.05632899477
946	0.05628795376
947	0.05625502023
948	0.05620775573
949	0.05616878041
950	0.05613329815
951	0.05609775704
952	0.05605337928
953	0.05598064147
954	0.05590659271
955	0.05586234089
956	0.05581204912
957	0.05577101696
958	0.05572848256
959	0.05570047609
960	0.0556490668
961	0.0556284313
962	0.05559288094
963	0.05551744991
964	0.05549502178
965	0.05544601341
966	0.05538585656
967	0.05534992505
968	0.05532184597
969	0.05525575744
970	0.05521183351
971	0.05518452961
972	0.05512908507
973	0.05509545097
974	0.05504054971
975	0.05498181428
976	0.0549448853
977	0.05492431524
978	0.05491714416
979	0.05489021138
980	0.05481990732
981	0.05478713878
982	0.05474513247
983	0.0547024974
984	0.05466255571
985	0.05458539326
986	0.05456108721
987	0.05455223053
988	0.05448801454
989	0.05445309106
990	0.05443189387
991	0.05440209052
992	0.05435578234
993	0.05430715336
994	0.05427213258
995	0.05422173474
996	0.05418616014
997	0.05415108406
998	0.0541228091
999	0.05406824129
